"subject","version","assignmentId","trial_ind","ex_ind","question_ind","response","correct","cond","rt","stamp","id"
"A1DXSFFL5HZ1NX","caus_thomas_fire_v5","3NL0RFNU0FOQ9DYI94G1EZVIRJQK4J","5","7","0","No","1","0","4764","2017-10-16 16:25:04","7656"
"A3CLB6VUB79NXD","caus_thomas_fire_v5","3KWTYT08704JP2K089BCYREBGFQ5LC","5","7","0","Yes","1","0","3454","2017-10-16 16:25:04","7657"
"A1I4YFIL263DP8","caus_thomas_fire_v5","3AZHRG4CU4L3ER8A5X10LAO3ZLO038","4","7","0","Yes","1","1","3486","2017-10-16 16:25:04","7658"
"AICU65R9X9G60
","caus_thomas_fire_v5","3CP1TO84PT2DOGYSY3T7JVF2AFZ52N","3","8","0","Yes","1","0","3573","2017-10-16 16:25:04","7659"
"A2HG1N3BVQO6I","caus_thomas_fire_v5","3OLQQLKKNSQDQVPTGPS2M67WPJKEJK","5","0","0","Yes","1","0","4417","2017-10-16 16:25:05","7660"
"A2NCNAIYI022X9","caus_thomas_fire_v5","3Y4W8Q93LZLHPKBN1JV1JC05KUPDVA","6","8","0","No","1","1","5966","2017-10-16 16:25:06","7661"
"A1SU8C0D1IJYTN","caus_thomas_fire_v5","33PPO7FECVGC3ERN2CWI4NABCSUDIE","3","0","0","Yes","1","1","3844","2017-10-16 16:25:06","7662"
"A3R1L6ID6NE0LU
	Total Earnings  (What's this?)","caus_thomas_fire_v5","3FFJ6VRIL1PI4UQTQ08NPGQSI3LI0Q","2","6","0","No","1","0","3835","2017-10-16 16:25:07","7663"
"A3K8J4N2M38P0S","caus_thomas_fire_v5","3C5W7UE9CFRCX3MVERVMQNKK9JQMX5","7","7","0","Yes","1","1","5083","2017-10-16 16:25:07","7664"
"A2ZA6GLQTIF345","caus_thomas_fire_v5","31Q0U3WYDPGLMZUF3S8QCWJT9FG17H","3","8","0","Yes","1","0","6803","2017-10-16 16:25:07","7665"
"A3USP1ZP069KCK","caus_thomas_fire_v5","37ZHEEHM6WNHW28UQWM90PYQ7ZU37B","6","9","0","No","1","0","2855","2017-10-16 16:25:07","7666"
"A3L4RJUHA0CJEA","caus_thomas_fire_v5","3OLF68YTN92UVGMLHUZVBPPDBX5AFI","4","4","0","No","1","1","3275","2017-10-16 16:25:07","7667"
"A1DXSFFL5HZ1NX","caus_thomas_fire_v5","3NL0RFNU0FOQ9DYI94G1EZVIRJQK4J","6","4","0","No","1","0","3350","2017-10-16 16:25:08","7668"
"A1SMJPKHJLZRC9","caus_thomas_fire_v5","3OF2M9AATGP6CAM7UX6R8V8RSEPZK6","8","6","0","No","1","1","9004","2017-10-16 16:25:08","7669"
"A1DHYSXOHE5VQL","caus_thomas_fire_v5","3I2PTA7R3TVXYILG71NEH2WNNB6QK5","2","1","0","Yes","1","0","4032","2017-10-16 16:25:08","7670"
"A3CLB6VUB79NXD","caus_thomas_fire_v5","3KWTYT08704JP2K089BCYREBGFQ5LC","6","3","0","Yes","1","0","3861","2017-10-16 16:25:08","7671"
"A1I4YFIL263DP8","caus_thomas_fire_v5","3AZHRG4CU4L3ER8A5X10LAO3ZLO038","5","5","0","Yes","1","1","3880","2017-10-16 16:25:09","7672"
"A16L21AR8X012","caus_thomas_fire_v5","3U4J9857OECMZXC75P1FI8W2VR77B6","2","8","0","No","1","0","5218","2017-10-16 16:25:09","7673"
"AK3H5QRAROFGP","caus_thomas_fire_v5","3634BBTX0OV91Y5JTIR8SNDWO54IFO","0","4","0","Yes","1","0","5619","2017-10-16 16:25:09","7674"
"A5L6EWPGSPQED","caus_thomas_fire_v5","354P56DE9K4LGJT9GBNA8X62ZFT7S7","0","8","0","Yes","1","1","5812","2017-10-16 16:25:09","7675"
"AICU65R9X9G60
","caus_thomas_fire_v5","3CP1TO84PT2DOGYSY3T7JVF2AFZ52N","4","4","0","Yes","1","0","4305","2017-10-16 16:25:09","7676"
"A1SU8C0D1IJYTN","caus_thomas_fire_v5","33PPO7FECVGC3ERN2CWI4NABCSUDIE","4","5","0","Yes","1","1","2675","2017-10-16 16:25:10","7677"
"A3K8J4N2M38P0S","caus_thomas_fire_v5","3C5W7UE9CFRCX3MVERVMQNKK9JQMX5","8","0","0","Yes","1","1","2250","2017-10-16 16:25:10","7678"
"A3USP1ZP069KCK","caus_thomas_fire_v5","37ZHEEHM6WNHW28UQWM90PYQ7ZU37B","7","1","0","Yes","1","0","3005","2017-10-16 16:25:11","7679"
"A2HG1N3BVQO6I","caus_thomas_fire_v5","3OLQQLKKNSQDQVPTGPS2M67WPJKEJK","6","6","0","No","1","0","5311","2017-10-16 16:25:11","7680"
"A3L4RJUHA0CJEA","caus_thomas_fire_v5","3OLF68YTN92UVGMLHUZVBPPDBX5AFI","5","8","0","No","1","1","3615","2017-10-16 16:25:12","7681"
"A1I4YFIL263DP8","caus_thomas_fire_v5","3AZHRG4CU4L3ER8A5X10LAO3ZLO038","6","1","0","Yes","1","1","2616","2017-10-16 16:25:12","7682"
"AK3H5QRAROFGP","caus_thomas_fire_v5","3634BBTX0OV91Y5JTIR8SNDWO54IFO","1","6","0","Yes","1","0","2527","2017-10-16 16:25:12","7683"
"A3R1L6ID6NE0LU
	Total Earnings  (What's this?)","caus_thomas_fire_v5","3FFJ6VRIL1PI4UQTQ08NPGQSI3LI0Q","3","4","0","No","1","0","4961","2017-10-16 16:25:13","7684"
"A3CLB6VUB79NXD","caus_thomas_fire_v5","3KWTYT08704JP2K089BCYREBGFQ5LC","7","1","0","No","0","0","3315","2017-10-16 16:25:13","7685"
"A1DXSFFL5HZ1NX","caus_thomas_fire_v5","3NL0RFNU0FOQ9DYI94G1EZVIRJQK4J","7","2","0","No","1","0","4007","2017-10-16 16:25:13","7686"
"A2NCNAIYI022X9","caus_thomas_fire_v5","3Y4W8Q93LZLHPKBN1JV1JC05KUPDVA","7","6","0","No","1","1","6467","2017-10-16 16:25:13","7687"
"A1SU8C0D1IJYTN","caus_thomas_fire_v5","33PPO7FECVGC3ERN2CWI4NABCSUDIE","5","9","0","Yes","1","1","2796","2017-10-16 16:25:14","7688"
"A1DHYSXOHE5VQL","caus_thomas_fire_v5","3I2PTA7R3TVXYILG71NEH2WNNB6QK5","3","0","0","Yes","1","0","4435","2017-10-16 16:25:14","7689"
